Class,Pixel Count
class_0,19.22385392354125
class_1,15.846685311871228
class_2,15.788709054325956
class_3,0.2520478873239437
class_4,12.959841046277665
class_5,1.0660108651911469
class_6,0.28425835010060363
class_7,0.0943364185110664
class_8,0.05408933601609658
class_9,0.028109456740442657
class_10,0.10780684104627766
class_11,0.132076861167002
class_12,0.033472837022132794
class_13,0.4692953722334004
class_14,0.5398595573440644
class_15,16.813241448692153
class_16,0.0
class_17,0.08914366197183099
class_18,16.217161770623743
